method,condition_label,direction,direction_display,source_accent,target_accent,source_id,source_path,target_path,target_ref_id,synthesis_path,expected_role,target_reference_was_conditioning,nisqa_mos,speaker_similarity,source_duration_sec,target_duration_sec,synthesis_duration_sec,selection_policy,source_item_id,quality_percentile,similarity_percentile,joint_rank,qid,display_index,page,cooldown_block,audio_a,audio_b,audio_x,audio,reference_a_role,reference_b_role,expected_choice,expected_accent
tvtsyn,TVTSyn,ame2bri,GAE->BRE,american,british,5694-64025-0011,/data/waris/code/PHONOSv2/evaluation/final/american/5694/wav/5694-64025-0011.wav,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_male_som_00610.wav,slr83_southern_male_som_00610,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_conversion/full/ame2bri/slr83_southern_male_som_00610/5694/5694-64025-0011.wav,target,True,4.794765,0.8282288312911987,7.03,6.144,7.04,matched target-conditioned TVTSyn conversion; 4-8 second source/X filtering,tvtsyn::ame2bri::slr83_southern_male_som_00610::5694::5694-64025-0011,,,,Q034,34,7,3,audio/Q034_A.wav,audio/Q034_B.wav,audio/Q034_X.wav,audio/Q034_X.wav,target,source,A,A
seedvc,SeedVC,ame2bri,GAE->BRE,american,british,2830-3980-0052,/data/waris/code/PHONOSv2/evaluation/final/american/2830/wav/2830-3980-0052.wav,/data/waris/code/PHONOSv2/evaluation/speakers/bri/british1.wav,british1,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2bri/british1/2830/2830-3980-0052.wav,target,True,4.6882153,0.8432236909866333,4.88,7.424,4.806530612244898,random after 4-8 second source/X filtering,seedvc::ame2bri::british1::2830-3980-0052,,,,Q035,35,7,3,audio/Q035_A.wav,audio/Q035_B.wav,audio/Q035_X.wav,audio/Q035_X.wav,source,target,B,B
seedvc,SeedVC,bri2ame,BRE->GAE,british,american,sof_04415_00963287775,/data/waris/code/PHONOSv2/evaluation/final/british/f_04415/wav/sof_04415_00963287775.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/SLT.wav,SLT,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/bri2ame/SLT/f_04415/sof_04415_00963287775.wav,target,True,4.855728,0.7737756967544556,7.936,3.355,7.999274376417233,random after 4-8 second source/X filtering,seedvc::bri2ame::SLT::sof_04415_00963287775,,,,Q036,36,8,3,audio/Q036_A.wav,audio/Q036_B.wav,audio/Q036_X.wav,audio/Q036_X.wav,target,source,A,A
seedvc,SeedVC,ame2bri,GAE->BRE,american,british,2830-3980-0036,/data/waris/code/PHONOSv2/evaluation/final/american/2830/wav/2830-3980-0036.wav,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_male_som_00610.wav,slr83_southern_male_som_00610,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2bri/slr83_southern_male_som_00610/2830/2830-3980-0036.wav,target,True,2.8038766,0.7664834260940552,5.765,6.144,5.6540589569161,random after 4-8 second source/X filtering,seedvc::ame2bri::slr83_southern_male_som_00610::2830-3980-0036,,,,Q037,37,8,3,audio/Q037_A.wav,audio/Q037_B.wav,audio/Q037_X.wav,audio/Q037_X.wav,source,target,B,B
seedvc,SeedVC,ind2ame,INE->GAE,indian,american,00305112_000036.v2.vad,/data/waris/code/PHONOSv2/evaluation/final/indian/S_021581/wav/00305112_000036.v2.vad.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/BDL.wav,BDL,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ind2ame/BDL/S_021581/00305112_000036.v2.vad.wav,target,True,4.9504986,0.7754621505737305,4.636,3.2350625,4.887800453514739,random after 4-8 second source/X filtering,seedvc::ind2ame::BDL::00305112_000036.v2.vad,,,,Q038,38,8,3,audio/Q038_A.wav,audio/Q038_B.wav,audio/Q038_X.wav,audio/Q038_X.wav,target,source,A,A
tvtsyn,TVTSyn,ind2ame,INE->GAE,indian,american,00239681_000035.v2.vad,/data/waris/code/PHONOSv2/evaluation/final/indian/S_007704/wav/00239681_000035.v2.vad.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/CLB.wav,CLB,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_conversion/full/ind2ame/CLB/S_007704/00239681_000035.v2.vad.wav,target,True,3.944489,0.8714378476142883,5.724,3.685,5.74,matched target-conditioned TVTSyn conversion; 4-8 second source/X filtering,tvtsyn::ind2ame::CLB::S_007704::00239681_000035.v2.vad,,,,Q039,39,8,3,audio/Q039_A.wav,audio/Q039_B.wav,audio/Q039_X.wav,audio/Q039_X.wav,target,source,A,A
tvtsyn,TVTSyn,bri2ame,BRE->GAE,british,american,som_03349_00630455222,/data/waris/code/PHONOSv2/evaluation/final/british/m_03349/wav/som_03349_00630455222.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/RMS.wav,RMS,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_conversion/full/bri2ame/RMS/m_03349/som_03349_00630455222.wav,target,True,4.343939,0.8392102718353271,4.437375,3.005,4.44,matched target-conditioned TVTSyn conversion; 4-8 second source/X filtering,tvtsyn::bri2ame::RMS::m_03349::som_03349_00630455222,,,,Q040,40,8,3,audio/Q040_A.wav,audio/Q040_B.wav,audio/Q040_X.wav,audio/Q040_X.wav,target,source,A,A
phonos,PHONOS,bri2ame,British to American,british,american,BRE015,/data/waris/code/PHONOSv2/evaluation/final/british/m_03034/wav/som_03034_01829683534.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/CLB.wav,CLB,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/bri2ame/BRE015/r3_epoch06/CLB.wav,target,True,4.3927956,0.8788419365882874,6.656,3.685,6.66,manual acceptance + target AccentCL hit + NISQA>=4.0 + target speaker similarity>=0.84; ranked jointly,bri2ame::BRE015::r3_epoch06::CLB,0.75,0.75,0.75,Q041,41,9,3,audio/Q041_A.wav,audio/Q041_B.wav,audio/Q041_X.wav,audio/Q041_X.wav,target,source,A,A
seedvc,SeedVC,ame2ind,GAE->INE,american,indian,652-129742-0007,/data/waris/code/PHONOSv2/evaluation/final/american/652/wav/652-129742-0007.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ind/rajasthanimale.wav,rajasthanimale,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2ind/rajasthanimale/652/652-129742-0007.wav,target,True,4.900894,0.7505359053611755,4.885,4.5995,5.2477097505668935,random after 4-8 second source/X filtering,seedvc::ame2ind::rajasthanimale::652-129742-0007,,,,Q042,42,9,3,audio/Q042_A.wav,audio/Q042_B.wav,audio/Q042_X.wav,audio/Q042_X.wav,target,source,A,A
seedvc,SeedVC,ame2spn,GAE->SPE,american,spanish,6241-61943-0012,/data/waris/code/PHONOSv2/evaluation/final/american/6241/wav/6241-61943-0012.wav,/data/waris/code/PHONOSv2/evaluation/speakers/spn/NJS.wav,NJS,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2spn/NJS/6241/6241-61943-0012.wav,target,True,4.66908,0.7676171064376831,5.86,4.0483125,5.584399092970521,random after 4-8 second source/X filtering,seedvc::ame2spn::NJS::6241-61943-0012,,,,Q043,43,9,3,audio/Q043_A.wav,audio/Q043_B.wav,audio/Q043_X.wav,audio/Q043_X.wav,source,target,B,B
seedvc,SeedVC,ame2spn,GAE->SPE,american,spanish,7850-73752-0012,/data/waris/code/PHONOSv2/evaluation/final/american/7850/wav/7850-73752-0012.wav,/data/waris/code/PHONOSv2/evaluation/speakers/spn/MBMPS.wav,MBMPS,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2spn/MBMPS/7850/7850-73752-0012.wav,target,True,4.19621,0.7511805891990662,4.38,4.2313125,4.655600907029479,random after 4-8 second source/X filtering,seedvc::ame2spn::MBMPS::7850-73752-0012,,,,Q044,44,9,3,audio/Q044_A.wav,audio/Q044_B.wav,audio/Q044_X.wav,audio/Q044_X.wav,source,target,B,B
seedvc,SeedVC,ame2ind,GAE->INE,american,indian,7729-102255-0039,/data/waris/code/PHONOSv2/evaluation/final/american/7729/wav/7729-102255-0039.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ind/rajasthanimale.wav,rajasthanimale,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2ind/rajasthanimale/7729/7729-102255-0039.wav,target,True,4.8736744,0.7336244583129883,6.815,4.5995,7.918004535147392,random after 4-8 second source/X filtering,seedvc::ame2ind::rajasthanimale::7729-102255-0039,,,,Q045,45,9,3,audio/Q045_A.wav,audio/Q045_B.wav,audio/Q045_X.wav,audio/Q045_X.wav,target,source,A,A
phonos,PHONOS,spn2ame,Spanish to American,spanish,american,SPE044,/data/waris/code/PHONOSv2/evaluation/final/spanish/EN_mKztA94WeYA_SPEAKER_00/wav/EN_mKztA94WeYA_W000019.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/SLT.wav,SLT,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/spn2ame/SPE044/r6_epoch05/SLT.wav,target,True,4.627098,0.8710582852363586,5.008,3.355,5.02,manual acceptance + target AccentCL hit + NISQA>=4.0 + target speaker similarity>=0.84; ranked jointly,spn2ame::SPE044::r6_epoch05::SLT,0.75,0.5,0.5,Q046,46,10,4,audio/Q046_A.wav,audio/Q046_B.wav,audio/Q046_X.wav,audio/Q046_X.wav,target,source,A,A
phonos,PHONOS,ame2ind,American to Indian,american,indian,AME037,/data/waris/code/PHONOSv2/evaluation/final/american/2035/wav/2035-152373-0010.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ind/Telu0088.wav,Telu0088,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2ind/AME037/r1_epoch13/Telu0088.wav,target,True,4.1433587,0.9277191162109376,7.6,9.59375,7.6,manual acceptance + target AccentCL hit + NISQA>=4.0 + target speaker similarity>=0.84; ranked jointly,ame2ind::AME037::r1_epoch13::Telu0088,0.5,1.0,0.5,Q047,47,10,4,audio/Q047_A.wav,audio/Q047_B.wav,audio/Q047_X.wav,audio/Q047_X.wav,source,target,B,B
phonos,PHONOS,ame2ind,American to Indian,american,indian,AME014,/data/waris/code/PHONOSv2/evaluation/final/american/1284/wav/1284-1180-0009.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ind/Telu0088.wav,Telu0088,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2ind/AME014/r1_epoch13/Telu0088.wav,target,True,4.2185564,0.9101736545562744,6.285,9.59375,6.3,manual acceptance + target AccentCL hit + NISQA>=4.0 + target speaker similarity>=0.84; ranked jointly,ame2ind::AME014::r1_epoch13::Telu0088,0.75,0.75,0.75,Q048,48,10,4,audio/Q048_A.wav,audio/Q048_B.wav,audio/Q048_X.wav,audio/Q048_X.wav,source,target,B,B
tvtsyn,TVTSyn,ame2ind,GAE->INE,american,indian,121-121726-0012,/data/waris/code/PHONOSv2/evaluation/final/american/121/wav/121-121726-0012.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ind/Hindi0000.wav,Hindi0000,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_conversion/full/ame2ind/Hindi0000/121/121-121726-0012.wav,target,True,3.8656685,0.7010326385498047,4.045,5.0,4.06,matched target-conditioned TVTSyn conversion; 4-8 second source/X filtering,tvtsyn::ame2ind::Hindi0000::121::121-121726-0012,,,,Q049,49,10,4,audio/Q049_A.wav,audio/Q049_B.wav,audio/Q049_X.wav,audio/Q049_X.wav,source,target,B,B
phonos,PHONOS,spn2ame,Spanish to American,spanish,american,SPE055,/data/waris/code/PHONOSv2/evaluation/final/spanish/EN_QtFiwXxCSjy_SPEAKER_00/wav/EN_QtFiwXxCSjy_W000011.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/RMS.wav,RMS,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/spn2ame/SPE055/r6_epoch05/RMS.wav,target,True,4.1175795,0.8789057731628418,7.437,3.005,7.44,manual acceptance + target AccentCL hit + NISQA>=4.0 + target speaker similarity>=0.84; ranked jointly,spn2ame::SPE055::r6_epoch05::RMS,0.5,0.75,0.5,Q050,50,10,4,audio/Q050_A.wav,audio/Q050_B.wav,audio/Q050_X.wav,audio/Q050_X.wav,target,source,A,A
tvtsyn,TVTSyn,ame2ind,GAE->INE,american,indian,3752-4944-0047,/data/waris/code/PHONOSv2/evaluation/final/american/3752/wav/3752-4944-0047.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ind/Hindi0000.wav,Hindi0000,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_conversion/full/ame2ind/Hindi0000/3752/3752-4944-0047.wav,target,True,4.588748,0.7639091610908508,6.975,5.0,6.98,matched target-conditioned TVTSyn conversion; 4-8 second source/X filtering,tvtsyn::ame2ind::Hindi0000::3752::3752-4944-0047,,,,Q051,51,11,4,audio/Q051_A.wav,audio/Q051_B.wav,audio/Q051_X.wav,audio/Q051_X.wav,target,source,A,A
tvtsyn,TVTSyn,bri2ame,BRE->GAE,british,american,som_03853_01968921993,/data/waris/code/PHONOSv2/evaluation/final/british/m_03853/wav/som_03853_01968921993.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/BDL.wav,BDL,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_conversion/full/bri2ame/BDL/m_03853/som_03853_01968921993.wav,target,True,3.8284574,0.8283491134643555,6.485375,3.2350625,6.5,matched target-conditioned TVTSyn conversion; 4-8 second source/X filtering,tvtsyn::bri2ame::BDL::m_03853::som_03853_01968921993,,,,Q052,52,11,4,audio/Q052_A.wav,audio/Q052_B.wav,audio/Q052_X.wav,audio/Q052_X.wav,source,target,B,B
phonos,PHONOS,ind2ame,Indian to American,indian,american,INE003,/data/waris/code/PHONOSv2/evaluation/final/indian/S_006449/wav/00386629_000010.v2.vad.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/SLT.wav,SLT,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ind2ame/INE003/r1_epoch13/SLT.wav,target,True,4.712494,0.9022178053855896,5.276,3.355,5.28,manual acceptance + target AccentCL hit + NISQA>=4.0 + target speaker similarity>=0.84; ranked jointly,ind2ame::INE003::r1_epoch13::SLT,0.8571428571428571,1.0,0.8571428571428571,Q053,53,11,4,audio/Q053_A.wav,audio/Q053_B.wav,audio/Q053_X.wav,audio/Q053_X.wav,target,source,A,A
tvtsyn,TVTSyn,bri2ame,BRE->GAE,british,american,sof_06136_01582990599,/data/waris/code/PHONOSv2/evaluation/final/british/f_06136/wav/sof_06136_01582990599.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/SLT.wav,SLT,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_conversion/full/bri2ame/SLT/f_06136/sof_06136_01582990599.wav,target,True,4.728194,0.7807118892669678,4.181375,3.355,4.2,matched target-conditioned TVTSyn conversion; 4-8 second source/X filtering,tvtsyn::bri2ame::SLT::f_06136::sof_06136_01582990599,,,,Q054,54,11,4,audio/Q054_A.wav,audio/Q054_B.wav,audio/Q054_X.wav,audio/Q054_X.wav,source,target,B,B
tvtsyn,TVTSyn,ame2ind,GAE->INE,american,indian,8297-275156-0008,/data/waris/code/PHONOSv2/evaluation/final/american/8297/wav/8297-275156-0008.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ind/rajasthanimale.wav,rajasthanimale,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_conversion/full/ame2ind/rajasthanimale/8297/8297-275156-0008.wav,target,True,4.028369,0.7583885192871094,7.84,4.5995,7.84,matched target-conditioned TVTSyn conversion; 4-8 second source/X filtering,tvtsyn::ame2ind::rajasthanimale::8297::8297-275156-0008,,,,Q055,55,11,4,audio/Q055_A.wav,audio/Q055_B.wav,audio/Q055_X.wav,audio/Q055_X.wav,source,target,B,B
tvtsyn,TVTSyn,spn2ame,SPE->GAE,spanish,american,EN_x6SKsuoK9iA_W000033,/data/waris/code/PHONOSv2/evaluation/final/spanish/EN_x6SKsuoK9iA_SPEAKER_00/wav/EN_x6SKsuoK9iA_W000033.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/RMS.wav,RMS,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_conversion/full/spn2ame/RMS/EN_x6SKsuoK9iA_SPEAKER_00/EN_x6SKsuoK9iA_W000033.wav,target,True,4.000291,0.8363924026489258,4.006,3.005,4.02,matched target-conditioned TVTSyn conversion; 4-8 second source/X filtering,tvtsyn::spn2ame::RMS::EN_x6SKsuoK9iA_SPEAKER_00::EN_x6SKsuoK9iA_W000033,,,,Q056,56,12,4,audio/Q056_A.wav,audio/Q056_B.wav,audio/Q056_X.wav,audio/Q056_X.wav,source,target,B,B
tvtsyn,TVTSyn,ame2ind,GAE->INE,american,indian,7850-281318-0008,/data/waris/code/PHONOSv2/evaluation/final/american/7850/wav/7850-281318-0008.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ind/telugufemale.wav,telugufemale,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_conversion/full/ame2ind/telugufemale/7850/7850-281318-0008.wav,target,True,3.1212401,0.8072092533111572,6.11,23.253375,6.12,matched target-conditioned TVTSyn conversion; 4-8 second source/X filtering,tvtsyn::ame2ind::telugufemale::7850::7850-281318-0008,,,,Q057,57,12,4,audio/Q057_A.wav,audio/Q057_B.wav,audio/Q057_X.wav,audio/Q057_X.wav,source,target,B,B
seedvc,SeedVC,bri2ame,BRE->GAE,british,american,som_03349_00630455222,/data/waris/code/PHONOSv2/evaluation/final/british/m_03349/wav/som_03349_00630455222.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/CLB.wav,CLB,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/bri2ame/CLB/m_03349/som_03349_00630455222.wav,target,True,4.3392167,0.8006576299667358,4.437375,3.685,4.725260770975057,random after 4-8 second source/X filtering,seedvc::bri2ame::CLB::som_03349_00630455222,,,,Q058,58,12,4,audio/Q058_A.wav,audio/Q058_B.wav,audio/Q058_X.wav,audio/Q058_X.wav,target,source,A,A
tvtsyn,TVTSyn,ame2bri,GAE->BRE,american,british,8455-210777-0009,/data/waris/code/PHONOSv2/evaluation/final/american/8455/wav/8455-210777-0009.wav,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_04415.wav,slr83_southern_female_sof_04415,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_conversion/full/ame2bri/slr83_southern_female_sof_04415/8455/8455-210777-0009.wav,target,True,3.7966418,0.8636066317558289,4.58,5.290666666666667,4.58,matched target-conditioned TVTSyn conversion; 4-8 second source/X filtering,tvtsyn::ame2bri::slr83_southern_female_sof_04415::8455::8455-210777-0009,,,,Q059,59,12,4,audio/Q059_A.wav,audio/Q059_B.wav,audio/Q059_X.wav,audio/Q059_X.wav,source,target,B,B
seedvc,SeedVC,ame2spn,GAE->SPE,american,spanish,8463-294828-0020,/data/waris/code/PHONOSv2/evaluation/final/american/8463/wav/8463-294828-0020.wav,/data/waris/code/PHONOSv2/evaluation/speakers/spn/NJS.wav,NJS,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2spn/NJS/8463/8463-294828-0020.wav,target,True,4.5502987,0.7517644166946411,5.915,4.0483125,6.106848072562358,random after 4-8 second source/X filtering,seedvc::ame2spn::NJS::8463-294828-0020,,,,Q060,60,12,4,audio/Q060_A.wav,audio/Q060_B.wav,audio/Q060_X.wav,audio/Q060_X.wav,target,source,A,A
