method,condition_label,direction,direction_display,source_accent,target_accent,source_id,source_path,target_path,target_ref_id,synthesis_path,expected_role,target_reference_was_conditioning,nisqa_mos,speaker_similarity,source_duration_sec,target_duration_sec,synthesis_duration_sec,selection_policy,source_item_id,quality_percentile,similarity_percentile,joint_rank,qid,display_index,page,cooldown_block,audio_a,audio_b,audio_x,audio,reference_a_role,reference_b_role,expected_choice,expected_accent
tvtsyn,TVTSyn,ind2ame,INE->GAE,indian,american,00469906_000034.v2.vad,/data/waris/code/PHONOSv2/evaluation/final/indian/S_008532/wav/00469906_000034.v2.vad.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/CLB.wav,CLB,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_conversion/full/ind2ame/CLB/S_008532/00469906_000034.v2.vad.wav,target,True,3.9441774,0.8656367063522339,4.6680625,3.685,4.68,matched target-conditioned TVTSyn conversion; 4-8 second source/X filtering,tvtsyn::ind2ame::CLB::S_008532::00469906_000034.v2.vad,,,,Q011,11,3,1,audio/Q011_A.wav,audio/Q011_B.wav,audio/Q011_X.wav,audio/Q011_X.wav,target,source,A,A
seedvc,SeedVC,ame2bri,GAE->BRE,american,british,6829-68769-0012,/data/waris/code/PHONOSv2/evaluation/final/american/6829/wav/6829-68769-0012.wav,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_03397.wav,slr83_southern_female_sof_03397,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2bri/slr83_southern_female_sof_03397/6829/6829-68769-0012.wav,target,True,3.562957,0.696426510810852,4.295,4.352,4.493061224489796,random after 4-8 second source/X filtering,seedvc::ame2bri::slr83_southern_female_sof_03397::6829-68769-0012,,,,Q012,12,3,1,audio/Q012_A.wav,audio/Q012_B.wav,audio/Q012_X.wav,audio/Q012_X.wav,target,source,A,A
tvtsyn,TVTSyn,spn2ame,SPE->GAE,spanish,american,EN_iJ7RZr1_jwU_W000011,/data/waris/code/PHONOSv2/evaluation/final/spanish/EN_iJ7RZr1_jwU_SPEAKER_00/wav/EN_iJ7RZr1_jwU_W000011.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/RMS.wav,RMS,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_conversion/full/spn2ame/RMS/EN_iJ7RZr1_jwU_SPEAKER_00/EN_iJ7RZr1_jwU_W000011.wav,target,True,3.428132,0.854377269744873,6.604,3.005,6.62,matched target-conditioned TVTSyn conversion; 4-8 second source/X filtering,tvtsyn::spn2ame::RMS::EN_iJ7RZr1_jwU_SPEAKER_00::EN_iJ7RZr1_jwU_W000011,,,,Q013,13,3,1,audio/Q013_A.wav,audio/Q013_B.wav,audio/Q013_X.wav,audio/Q013_X.wav,target,source,A,A
phonos,PHONOS,bri2ame,British to American,british,american,BRE048,/data/waris/code/PHONOSv2/evaluation/final/british/m_01208/wav/som_01208_00087537090.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/SLT.wav,SLT,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/bri2ame/BRE048/r1_epoch13/SLT.wav,target,True,4.8094835,0.8862894773483276,7.765375,3.355,7.78,manual acceptance + target AccentCL hit + NISQA>=4.0 + target speaker similarity>=0.84; ranked jointly,bri2ame::BRE048::r1_epoch13::SLT,1.0,0.875,0.875,Q014,14,3,1,audio/Q014_A.wav,audio/Q014_B.wav,audio/Q014_X.wav,audio/Q014_X.wav,source,target,B,B
tvtsyn,TVTSyn,ame2bri,GAE->BRE,american,british,3853-163249-0045,/data/waris/code/PHONOSv2/evaluation/final/american/3853/wav/3853-163249-0045.wav,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_male_som_08784.wav,slr83_southern_male_som_08784,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_conversion/full/ame2bri/slr83_southern_male_som_08784/3853/3853-163249-0045.wav,target,True,4.266062,0.8438042402267456,7.29,12.970666666666666,7.3,matched target-conditioned TVTSyn conversion; 4-8 second source/X filtering,tvtsyn::ame2bri::slr83_southern_male_som_08784::3853::3853-163249-0045,,,,Q015,15,3,1,audio/Q015_A.wav,audio/Q015_B.wav,audio/Q015_X.wav,audio/Q015_X.wav,source,target,B,B
phonos,PHONOS,ind2ame,Indian to American,indian,american,INE023,/data/waris/code/PHONOSv2/evaluation/final/indian/S_008532/wav/00469932_000036.v2.vad.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/RMS.wav,RMS,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ind2ame/INE023/r6_epoch05/RMS.wav,target,True,4.454605,0.8948308825492859,6.364,3.005,6.38,manual acceptance + target AccentCL hit + NISQA>=4.0 + target speaker similarity>=0.84; ranked jointly,ind2ame::INE023::r6_epoch05::RMS,0.5,0.9285714285714286,0.5,Q016,16,4,2,audio/Q016_A.wav,audio/Q016_B.wav,audio/Q016_X.wav,audio/Q016_X.wav,source,target,B,B
seedvc,SeedVC,ind2ame,INE->GAE,indian,american,00365053_000025.v2.vad,/data/waris/code/PHONOSv2/evaluation/final/indian/S_009220/wav/00365053_000025.v2.vad.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/SLT.wav,SLT,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ind2ame/SLT/S_009220/00365053_000025.v2.vad.wav,target,True,5.037786,0.7883831858634949,4.22,3.355,4.504671201814059,random after 4-8 second source/X filtering,seedvc::ind2ame::SLT::00365053_000025.v2.vad,,,,Q017,17,4,2,audio/Q017_A.wav,audio/Q017_B.wav,audio/Q017_X.wav,audio/Q017_X.wav,target,source,A,A
seedvc,SeedVC,ind2ame,INE->GAE,indian,american,00305064_000078.v2.vad,/data/waris/code/PHONOSv2/evaluation/final/indian/S_021581/wav/00305064_000078.v2.vad.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/RMS.wav,RMS,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ind2ame/RMS/S_021581/00305064_000078.v2.vad.wav,target,True,4.8319345,0.8227317333221436,4.1560625,3.005,4.423401360544218,random after 4-8 second source/X filtering,seedvc::ind2ame::RMS::00305064_000078.v2.vad,,,,Q018,18,4,2,audio/Q018_A.wav,audio/Q018_B.wav,audio/Q018_X.wav,audio/Q018_X.wav,source,target,B,B
seedvc,SeedVC,ame2ind,GAE->INE,american,indian,6241-61943-0005,/data/waris/code/PHONOSv2/evaluation/final/american/6241/wav/6241-61943-0005.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ind/Telu0088.wav,Telu0088,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2ind/Telu0088/6241/6241-61943-0005.wav,target,True,4.4441376,0.8446022868156433,4.9,9.59375,5.131609977324263,random after 4-8 second source/X filtering,seedvc::ame2ind::Telu0088::6241-61943-0005,,,,Q019,19,4,2,audio/Q019_A.wav,audio/Q019_B.wav,audio/Q019_X.wav,audio/Q019_X.wav,source,target,B,B
seedvc,SeedVC,spn2ame,SPE->GAE,spanish,american,EN_iJ7RZr1_jwU_W000011,/data/waris/code/PHONOSv2/evaluation/final/spanish/EN_iJ7RZr1_jwU_SPEAKER_00/wav/EN_iJ7RZr1_jwU_W000011.wav,/data/waris/code/PHONOSv2/evaluation/speakers/ame/SLT.wav,SLT,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/spn2ame/SLT/EN_iJ7RZr1_jwU_SPEAKER_00/EN_iJ7RZr1_jwU_W000011.wav,target,True,4.6048613,0.8058622479438782,6.604,3.355,6.606077097505669,random after 4-8 second source/X filtering,seedvc::spn2ame::SLT::EN_iJ7RZr1_jwU_W000011,,,,Q020,20,4,2,audio/Q020_A.wav,audio/Q020_B.wav,audio/Q020_X.wav,audio/Q020_X.wav,target,source,A,A
