condition,condition_label,source_index,audio,qid,display_index,page,cooldown_block,audio_filename,selected_source_path,selected_item_id,selected_method,selected_direction,selected_source_accent,selected_target_accent,selected_source_speaker_id,selected_utterance_id,selected_target_ref_id,selected_phonos_run,selected_accent_pred_label,selected_expected_tgt_label,selected_recall_tgt_hit,selected_nisqa_mos
PHONOS,PHONOS,4,audio/PHONOS_04.wav,Q014,14,3,1,PHONOS_04.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ind2ame/SLT/S_021107/00161302_000029.v2.vad.wav,phonos::ind2ame::SLT::00161302_000029.v2.vad,PHONOS,ind2ame,indian,american,S_021107,00161302_000029.v2.vad,SLT,full,north_american,north_american,1,4.9682374
original,Original speech,3,audio/original_03.wav,Q015,15,3,1,original_03.wav,/data/waris/code/PHONOSv2/evaluation/final/indian/S_003669/wav/00304966_000025.v2.vad.wav,gt::indian::00304966_000025.v2.vad,original,reference,indian,indian,S_003669,00304966_000025.v2.vad,,,,,,
TVTSyn,TVTSyn,5,audio/TVTSyn_05.wav,Q016,16,4,2,TVTSyn_05.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_reconstruction/full/british/m_07508/som_07508_00863530164.wav,tvtsyn::british::m_07508::som_07508_00863530164,TVTSyn,reconstruction,british,british,m_07508,som_07508_00863530164,,,,,,
PHONOS,PHONOS,5,audio/PHONOS_05.wav,Q017,17,4,2,PHONOS_05.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ind2ame/SLT/S_002906/00337562_000049.v2.vad.wav,phonos::ind2ame::SLT::00337562_000049.v2.vad,PHONOS,ind2ame,indian,american,S_002906,00337562_000049.v2.vad,SLT,full,north_american,north_american,1,4.8985343
PHONOS,PHONOS,6,audio/PHONOS_06.wav,Q018,18,4,2,PHONOS_06.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ind2ame/SLT/S_003823/00022526_000019.v2.vad.wav,phonos::ind2ame::SLT::00022526_000019.v2.vad,PHONOS,ind2ame,indian,american,S_003823,00022526_000019.v2.vad,SLT,full,north_american,north_american,1,4.8981457
TVTSyn,TVTSyn,6,audio/TVTSyn_06.wav,Q019,19,4,2,TVTSyn_06.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_reconstruction/full/spanish/Portuguese_G00663/G00663S5453.wav,tvtsyn::spanish::Portuguese_G00663::G00663S5453,TVTSyn,reconstruction,spanish,spanish,Portuguese_G00663,G00663S5453,,,,,,
original,Original speech,4,audio/original_04.wav,Q020,20,4,2,original_04.wav,/data/waris/code/PHONOSv2/evaluation/final/american/7729/wav/7729-102255-0044.wav,gt::american::7729-102255-0044,original,reference,american,american,7729,7729-102255-0044,,,,,,
seedvc,SeedVC,5,audio/seedvc_05.wav,Q021,21,5,2,seedvc_05.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2spn/MBMPS/2803/2803-154320-0007.wav,seedvc::ame2spn::MBMPS::2803::2803-154320-0007,seedvc,ame2spn,ame,spn,2803,2803-154320-0007,MBMPS,,,,,
TVTSyn,TVTSyn,7,audio/TVTSyn_07.wav,Q022,22,5,2,TVTSyn_07.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_reconstruction/full/indian/S_019526/00124766_000024.v2.vad.wav,tvtsyn::indian::S_019526::00124766_000024.v2.vad,TVTSyn,reconstruction,indian,indian,S_019526,00124766_000024.v2.vad,,,,,,
original,Original speech,5,audio/original_05.wav,Q023,23,5,2,original_05.wav,/data/waris/code/PHONOSv2/evaluation/final/indian/S_008077/wav/00004865_000006.v2.vad.wav,gt::indian::00004865_000006.v2.vad,original,reference,indian,indian,S_008077,00004865_000006.v2.vad,,,,,,
